objectid,color,spectrum,hue,percent,css3
1429,#7d7d7d,#8362aa,Grey,0.2514728682170543,#808080
1429,#c8c8c8,#8c5fa8,Grey,0.1827906976744186,#c0c0c0
1429,#646464,#7866ad,Grey,0.17844961240310078,#696969
1429,#afafaf,#8c5fa8,Grey,0.17162790697674418,#a9a9a9
1429,#969696,#8761aa,Grey,0.16387596899224807,#a9a9a9
1429,#4b4b4b,#3db657,Grey,0.026976744186046512,#2f4f4f
1429,#e1e1e1,#955ba5,Grey,0.024806201550387597,#dcdcdc
4586,#e1e1e1,#955ba5,Grey,0.40594202898550724,#dcdcdc
4586,#7d7d7d,#8362aa,Grey,0.1510144927536232,#808080
4586,#969696,#8761aa,Grey,0.13036231884057972,#a9a9a9
4586,#646464,#7866ad,Grey,0.10905797101449276,#696969
4586,#afafaf,#8c5fa8,Grey,0.06768115942028985,#a9a9a9
4586,#4b4b4b,#3db657,Grey,0.05398550724637681,#2f4f4f
4586,#fafafa,#955ba5,White,0.04688405797101449,#fffafa
4586,#c8c8c8,#8c5fa8,Grey,0.025507246376811593,#c0c0c0
4586,#323232,#2eb45d,Grey,0.009565217391304347,#2f4f4f
4615,#e1e1e1,#955ba5,Grey,0.3328260869565217,#dcdcdc
4615,#7d7d7d,#8362aa,Grey,0.14021739130434782,#808080
4615,#646464,#7866ad,Grey,0.13608695652173913,#696969
4615,#969696,#8761aa,Grey,0.12130434782608696,#a9a9a9
4615,#fafafa,#955ba5,White,0.10471014492753623,#fffafa
4615,#4b4b4b,#3db657,Grey,0.07630434782608696,#2f4f4f
4615,#afafaf,#8c5fa8,Grey,0.0613768115942029,#a9a9a9
4615,#c8c8c8,#8c5fa8,Grey,0.015507246376811595,#c0c0c0
4615,#323232,#2eb45d,Grey,0.011666666666666667,#2f4f4f
4640,#e1e1e1,#955ba5,Grey,0.40855072463768116,#dcdcdc
4640,#afafaf,#8c5fa8,Grey,0.11804347826086957,#a9a9a9
4640,#969696,#8761aa,Grey,0.1136231884057971,#a9a9a9
4640,#7d7d7d,#8362aa,Grey,0.10840579710144928,#808080
4640,#646464,#7866ad,Grey,0.0922463768115942,#696969
4640,#c8c8c8,#8c5fa8,Grey,0.0627536231884058,#c0c0c0
4640,#4b4b4b,#3db657,Grey,0.04630434782608696,#2f4f4f
4640,#fafafa,#955ba5,White,0.036231884057971016,#fffafa
4640,#323232,#2eb45d,Grey,0.013840579710144928,#2f4f4f
4728,#191919,#1eb264,Grey,0.3701424501424501,#000000
4728,#964b32,#d0577c,Orange,0.25236467236467236,#a0522d
4728,#af6432,#e9715f,Orange,0.21247863247863247,#a0522d
4728,#323232,#2eb45d,Grey,0.05754985754985755,#2f4f4f
4728,#c8644b,#e46867,Red,0.051168091168091165,#cd5c5c
4728,#4b3219,#4ab851,Brown,0.03720797720797721,#556b2f
4728,#af7d64,#c85783,Brown,0.008205128205128205,#cd5c5c
4728,#c8afaf,#b55592,Red,0.005356125356125356,#c0c0c0
4728,#c8967d,#e66c64,Grey,0.003532763532763533,#bc8f8f
4728,#e1c8c8,#c15689,Orange,0.0019943019943019944,#d8bfd8
4927,#e1c8af,#e9715f,Orange,0.8516296296296296,#f5deb3
4927,#c8af96,#e66c64,Brown,0.10044444444444445,#d2b48c
4927,#af967d,#c25687,Brown,0.027703703703703703,#bc8f8f
4927,#967d64,#b65590,Brown,0.006814814814814815,#808080
4927,#7d6464,#8e5ea7,Brown,0.005111111111111111,#696969
4927,#4b4b4b,#3db657,Grey,0.0044444444444444444,#2f4f4f
4927,#64644b,#59ba4a,Green,0.003851851851851852,#696969
4988,#191919,#1eb264,Grey,0.3751923076923077,#000000
4988,#323219,#3db657,Brown,0.21205128205128204,#2f4f4f
4988,#000000,#1eb264,Black,0.2066025641025641,#000000
4988,#644b32,#59ba4a,Brown,0.06192307692307692,#556b2f
4988,#af3232,#d75776,Red,0.046794871794871795,#a52a2a
4988,#c8644b,#e46867,Red,0.034487179487179484,#cd5c5c
4988,#7d7d4b,#6cbd45,Green,0.01769230769230769,#696969
4988,#969664,#84c441,Green,0.017051282051282052,#808080
4988,#afaf7d,#9ecb3b,Green,0.010192307692307691,#bdb76b
4988,#c8af96,#e66c64,Brown,0.007307692307692308,#d2b48c
5109,#c8af64,#b0d136,Yellow,0.6881632653061225,#bdb76b
5109,#e1af7d,#ef7a55,Orange,0.10462585034013605,#deb887
5109,#7d6432,#6cbd45,Yellow,0.08829931972789115,#a0522d
5109,#967d4b,#7fc241,Brown,0.0745578231292517,#a0522d
5109,#644b32,#59ba4a,Brown,0.04435374149659864,#556b2f
5144,#e1e1e1,#955ba5,Grey,0.3168840579710145,#dcdcdc
5144,#fafafa,#955ba5,White,0.12717391304347825,#fffafa
5144,#646464,#7866ad,Grey,0.12420289855072464,#696969
