objectid,imagecount,mediacount,colorcount,rank,datebegin,dateend
1429,27,0,7,126496,2005,2005
4586,2,0,9,126508,2005,2005
4615,1,0,9,126517,2005,2005
4640,1,0,9,126511,2005,2005
4728,0,0,10,214609,2006,2006
4927,2,0,7,125205,1600,1699
4988,1,0,10,440,1822,1822
5109,2,0,5,126255,1764,1764
5144,1,0,10,126506,2006,2006
5145,2,0,9,126502,2006,2006
5204,1,0,9,126510,2006,2006
5205,1,0,9,126512,1990,1990
5211,1,0,9,134535,1881,1891
5215,1,0,10,126499,2006,2006
5216,1,0,9,126504,2006,2006
5217,1,0,10,126507,2006,2006
5218,1,0,9,126503,2006,2006
5219,1,0,9,126501,2006,2006
5220,1,0,9,126521,2006,2006
5221,1,0,10,126520,1990,1990
5222,2,0,9,126518,1990,1990
5240,1,0,10,365,1868,1868
5244,1,0,7,125633,1767,1899
5265,1,0,10,143693,1612,1622
5368,2,0,10,126513,1991,1991
5369,1,0,9,126500,2006,2006
5499,1,0,10,126509,2006,2006
5500,1,0,9,126515,2006,2006
5501,1,0,9,126505,2006,2006
5502,1,0,9,126519,1991,1991
5524,1,0,9,126514,2006,2006
5525,1,0,9,126498,2006,2006
5649,2,0,6,125879,1896,1898
5673,1,0,8,126516,2005,2005
5855,3,0,4,125881,1896,1898
5858,1,0,8,126459,1910,1970
6009,1,0,9,126352,1863,1873
6259,2,0,6,125880,1896,1898
6260,1,0,7,125877,1896,1898
6532,2,0,10,50914,0,0
7556,1,0,10,126531,1909,1919
8000,1,0,10,127510,1999,1999
11619,0,0,9,126456,1958,1958
12455,0,0,10,126427,1915,1925
12550,2,0,7,68761,1896,1896
18406,1,0,2,90982,0,0
18407,1,0,7,90984,0,0
18408,1,0,7,90989,0,0
18409,1,0,7,90942,0,0
18429,1,0,6,90981,0,0
18430,1,0,7,90983,0,0
18431,1,0,8,90987,0,0
18432,1,0,5,90990,0,0
18496,1,0,6,90985,0,0
18497,1,0,5,90986,0,0
18498,1,0,7,90988,0,0
18550,1,0,4,90979,0,0
18551,1,0,6,90980,0,0
18578,1,0,7,90946,0,0
18579,1,0,5,90949,0,0
18580,1,0,6,90950,0,0
18581,1,0,6,90951,0,0
18582,1,0,6,90952,0,0
18583,1,0,5,90961,0,0
18584,1,0,5,90962,0,0
18585,1,0,5,90969,0,0
18586,1,0,6,90970,0,0
18587,1,0,6,90971,0,0
18588,1,0,6,90948,0,0
18589,1,0,5,90953,0,0
18590,1,0,7,90955,0,0
18591,1,0,5,90958,0,0
18592,1,0,6,90964,0,0
18593,1,0,6,90966,0,0
18594,1,0,5,90968,0,0
18595,1,0,6,90973,0,0
18602,1,0,5,90960,0,0
18615,1,0,5,90972,0,0
18623,1,0,5,90977,0,0
18631,1,0,7,90967,0,0
18632,1,0,6,90974,0,0
18638,1,0,4,90975,0,0
18639,1,0,7,90978,0,0
18647,1,0,4,90976,0,0
19028,1,0,7,90938,0,0
19029,1,0,6,90939,0,0
19057,1,0,6,90936,0,0
19058,1,0,5,90937,0,0
19059,1,0,6,90940,0,0
19060,1,0,7,90943,0,0
19061,1,0,5,90944,0,0
19062,1,0,4,90959,0,0
19071,1,0,4,90941,0,0
19072,1,0,5,90945,0,0
19073,1,0,7,90947,0,0
19074,1,0,6,90954,0,0
19075,1,0,5,90956,0,0
19076,1,0,5,90957,0,0
19077,1,0,6,90963,0,0
19078,1,0,7,90965,0,0
19217,2,0,6,125893,1830,1900
19278,1,0,9,134489,1870,1940
20471,1,0,10,125868,1880,1880
20714,2,0,9,125895,1937,1937
20901,1,0,10,125864,1860,1870
20919,1,0,10,125863,1865,1865
20969,1,0,10,125793,1931,1931
20971,0,0,9,380,1991,1991
20975,6,0,10,125871,1867,1867
20976,2,0,8,125892,1909,1909
20977,2,0,6,125878,1896,1898
21116,3,0,6,398,2004,2004
29849,1,0,8,134534,1906,1906
29888,3,0,7,154895,1881,1891
29921,1,0,7,214607,2000,2000
30615,1,0,3,105708,1831,1831
30616,1,0,4,105710,1831,1831
30696,1,0,5,105706,1831,1831
30697,1,0,4,105703,1831,1831
30758,0,0,10,214893,1997,1997
30850,0,0,10,214608,1994,1994
30960,1,0,3,105707,1831,1831
30961,1,0,3,105709,1831,1831
31128,2,0,6,152298,1801,1811
31141,2,0,10,125771,1743,1753
31155,1,0,9,117,1856,1866
31157,1,0,10,125736,1878,1878
31158,1,0,7,125737,1890,1900
31169,1,0,6,126351,1856,1866
31171,1,0,10,125770,1743,1753
31172,2,0,9,152297,1805,1815
31173,1,0,10,125772,1881,1881
47201,1,0,10,214606,1909,1919
47485,1,0,10,45860,1957,1957
47501,1,0,4,109934,1644,1911
47502,1,0,3,109935,1644,1911
47503,1,0,5,109936,1644,1911
47504,1,0,3,109940,1644,1911
47600,1,0,10,86971,0,0
47630,1,0,10,133570,1684,1688
47768,1,0,3,109938,1644,1911
47769,1,0,3,109939,1644,1911
47770,1,0,6,109941,1866,1899
47969,1,0,5,109933,1644,1911
48082,1,0,9,109957,1800,1899
48083,1,0,4,110019,1800,1911
48084,1,0,10,110021,1800,1911
48085,1,0,10,110022,1800,1911
48125,1,0,8,109959,1800,1899
48126,1,0,10,109961,1800,1899
48127,1,0,8,109962,1800,1899
48128,1,0,10,109964,1800,1899
48129,1,0,7,110024,1800,1911
48130,1,0,8,110026,1800,1911
48131,1,0,6,110027,1800,1911
48132,1,0,7,110037,1700,1769
48145,1,0,8,109960,1800,1899
48146,1,0,10,109963,1800,1899
48147,1,0,9,110020,1800,1911
48148,1,0,8,110023,1800,1911
48149,1,0,6,110028,1800,1911
48182,1,0,8,109958,1800,1899
48183,1,0,7,110025,1800,1911
48241,1,0,5,109930,1644,1911
48242,1,0,4,109932,1644,1911
48243,1,0,4,109937,1644,1911
48289,1,0,5,109931,1644,1911
48331,1,0,3,109942,1644,1911
48332,1,0,7,109944,1644,1911
48370,1,0,5,109943,1644,1911
48371,1,0,5,109945,1644,1911
48509,0,0,9,214605,2005,2005
48601,2,0,8,110123,0,0
48602,1,0,5,110177,0,0
48603,1,0,7,110182,0,0
48604,1,0,3,110199,1644,1899
48606,1,0,8,110226,0,0
48607,1,0,8,110229,0,0
48613,1,0,8,110014,0,0
48614,1,0,8,110005,0,0
48644,1,0,9,109987,0,0
48645,1,0,9,109988,0,0
48646,1,0,9,109990,0,0
48647,1,0,10,109991,0,0
48648,1,0,10,109992,0,0
48649,1,0,10,109993,0,0
48650,1,0,7,110030,1700,1769
48651,1,0,9,110031,1700,1769
48652,1,0,6,110034,1700,1769
48665,1,0,8,110032,1700,1769
48666,1,0,8,110035,1700,1769
48670,1,0,10,109989,0,0
48671,1,0,10,109994,0,0
48672,1,0,8,110033,1700,1769
48673,1,0,7,110036,1700,1769
48783,1,0,4,110176,0,0
48784,1,0,5,110179,0,0
48785,1,0,5,110181,0,0
48786,1,0,4,110193,1644,1899
48787,1,0,6,110195,1644,1899
48788,1,0,6,110196,1644,1899
48789,1,0,3,110200,1644,1899
48793,1,0,10,110221,0,0
48794,1,0,8,110223,0,0
48795,1,0,8,110224,0,0
48796,1,0,8,110227,0,0
48797,1,0,9,110230,0,0
48798,2,0,10,154607,1906,1908
48828,2,0,10,110124,0,0
48829,2,0,8,110125,0,0
48830,1,0,3,110178,0,0
48831,1,0,5,110183,0,0
48832,1,0,4,110197,1644,1899
48833,1,0,5,110198,1644,1899
48834,2,0,8,110120,0,0
48835,2,0,10,110127,0,0
48836,1,0,4,110180,0,0
48837,1,0,3,110194,1644,1899
48842,1,0,9,110222,0,0
48843,1,0,7,110225,0,0
48844,1,0,6,110228,0,0
48847,1,0,8,110012,0,0
48848,1,0,9,110011,0,0
48849,1,0,9,110006,0,0
48887,1,0,10,110013,0,0
48888,1,0,9,110007,0,0
48934,1,0,5,110231,0,0
48935,1,0,7,110232,0,0
48939,1,0,10,110010,0,0
48940,1,0,10,110009,0,0
48941,1,0,9,110008,0,0
49005,0,0,10,214589,1944,1944
49007,0,0,10,214890,1952,1952
49026,1,0,5,110000,0,0
49038,1,0,8,110063,0,0
49048,1,0,10,110064,0,0
49049,1,0,6,110067,0,0
49050,1,0,6,110068,0,0
49051,1,0,7,110079,0,0
49052,1,0,5,110080,0,0
49053,1,0,7,110081,0,0
49054,1,0,6,110082,0,0
49055,1,0,8,110083,0,0
49056,2,0,6,110108,0,0
49057,2,0,7,110109,0,0
49101,2,0,10,110115,0,0
49113,2,0,6,110119,0,0
49114,2,0,9,110121,0,0
49115,2,0,8,110122,0,0
49116,2,0,8,110126,0,0
49117,1,0,9,110069,0,0
49118,1,0,5,110076,0,0
49119,1,0,7,110077,0,0
49120,1,0,6,110084,0,0
49121,1,0,8,110085,0,0
49122,1,0,9,110088,0,0
49123,2,0,10,110111,0,0
49124,2,0,8,110112,0,0
49125,2,0,8,110114,0,0
49126,2,0,10,110118,0,0
49149,1,0,6,110066,0,0
49150,1,0,5,110071,0,0
49151,1,0,9,110072,0,0
49152,1,0,7,110073,0,0
49153,1,0,6,110090,0,0
49154,2,0,10,110107,0,0
49155,1,0,9,110116,0,0
49156,2,0,9,110117,0,0
49169,1,0,6,110053,0,0
49170,1,0,10,110056,0,0
49184,1,0,4,110003,0,0
49190,1,0,7,110054,0,0
49191,1,0,5,110055,0,0
49192,1,0,10,110057,0,0
49193,1,0,7,110060,0,0
49194,1,0,7,110061,0,0
49213,1,0,10,110058,0,0
49214,1,0,7,110059,0,0
49215,1,0,6,110062,0,0
49216,1,0,5,110070,0,0
49217,1,0,5,110074,0,0
49218,1,0,9,110075,0,0
49219,1,0,7,110078,0,0
49220,1,0,6,110086,0,0
49221,1,0,4,110087,0,0
49222,1,0,4,110089,0,0
49223,1,0,8,110091,0,0
49224,2,0,7,110110,0,0
49225,2,0,10,110113,0,0
49265,1,0,3,109997,0,0
49266,1,0,5,109998,0,0
49267,1,0,5,109999,0,0
49268,1,0,5,110002,0,0
49269,5,0,10,110047,1700,1732
49278,1,0,8,110052,0,0
49279,1,0,9,110065,0,0
49353,0,0,10,214603,2005,2005
49385,1,0,10,214600,1906,1906
49409,0,0,10,214604,2005,2005
49502,1,0,6,110001,0,0
49511,1,0,4,109996,0,0
49614,0,0,3,214602,2004,2004
50187,0,0,7,124834,1979,1979
50190,0,0,5,125738,1945,1945
50447,1,0,8,214601,1899,1899
50567,0,0,10,124017,1956,1956
50581,1,0,10,394,1893,1893
50597,0,0,10,125368,1952,1952
50600,1,0,10,143184,1854,1855
