id,title,culture,period,century,medium,dimensions,department,description,classification,accessionyear,accessionmethod
1429,What a Glorious Land!,Chinese,,21st century,"Handscroll; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi ling wu"" (Li Junyi '05); with colophon by Liu Guosong (b. 1932) dated 2006","entire painting, including title: H. 17 x W. 300 cm (6 11/16 x 118 1/8 in.)
mounting: H. 17.78 cm (7 in.)",Department of Asian Art,"This handscroll depicts a range of tree-covered mountains shrouded in mist. A title written by the artist precedes the painting; the title is a line from a 1936 poem by Mao Zedong and reads ""Jiangshan ruci dou jiao"". It can be translated as ""What a Glorious Land!"", though it is also translated as ""This land, so rich in beauty.""",Paintings,2006.0,Purchase
4586,"Streams and Mountains, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 05""",41.7 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
4615,"The Great Wall Snaking through the Mountains, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 05""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
4640,"Fantastic Mountains in Western China, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 05""",42 x 24.2 cm (16 9/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
4728,Ida B. Wells (1862-1931),American,,21st century,Oil on canvas,116.8 x 91.4 cm (46 x 36 in.),Harvard University Portrait Collection,,Paintings,,Not Recorded
4927,Landscape with Full Moon,Japanese,"Edo period, 1615-1868",17th century,Hanging scroll; ink on paper,34.5 x 56.5 cm (13 9/16 x 22 1/4 in.),Department of Asian Art,,Paintings,2003.0,Gift
4988,Still Life with Watermelon,American,,19th century,Oil on panel,"46.4 x 67 cm (18 1/4 x 26 3/8 in.)
frame: 63.5 x 85.7 x 7.6 cm (25 x 33 3/4 x 3 in.)","Department of American Paintings, Sculpture & Decorative Arts",,Paintings,2006.0,Purchase
5109,Landscape,Korean,"Chosŏn dynasty, 1392-1910",18th century,"Hanging scroll; ink and light colors on silk; with signature of the artist reading ""So-chung-hwa Sŏ-am sa""","painting proper: H. 106.1 x W. 34.9 cm (41 3/4 x 13 3/4 in.)
mounting: H. 189.2 x W. 53.3 cm (74 1/2 x 21 in.)",Department of Asian Art,,Paintings,2005.0,Purchase
5144,"Melting-Glacier Water Cascading through a Thousand Peaks, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5145,"A Thousand Peaks and Myriad Ravines, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",42 x 24.1 cm (16 9/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
